Country,Election type,Year,Voter Turnout,Total vote,Registration,VAP Turnout,Voting age population,Population,Invalid votes,Compulsory voting
Bosnia and Herzegovina,Parliamentary,1996,0.46060,1335707.00,2900000.00,0.519,2572520.00,3524000.00,,No
Bosnia and Herzegovina,Presidential,2018,0.54020,1812575.00,3355429.00,0.561,3228803.00,3849891.00,0.066,No
Bosnia and Herzegovina,Presidential,2014,0.54540,1788193.00,3278908.00,0.593,3014585.00,3871643.00,0.077,No
Bosnia and Herzegovina,Presidential,2010,0.56460,1768573.00,3132231.00,0.588,3010376.00,4621598.00,0.080,No
Bosnia and Herzegovina,Presidential,2006,0.50510,1391748.00,2755207.00,0.393,3539921.00,4498976.00,,No
Bosnia and Herzegovina,Presidential,2002,0.55450,1298811.00,2342141.00,0.409,3178427.00,3964388.00,0.068,No
Bosnia and Herzegovina,Presidential,1998,0.70740,1879339.00,2656758.00,0.577,3256197.00,4022835.00,,No
Bosnia and Herzegovina,Presidential,1996,0.60320,1333204.00,2210189.00,0.564,2366000.00,3640000.00,0.044,No
Botswana,Parliamentary,2019,0.83510,772208.00,924709.00,0.535,1444142.00,2283255.00,,No
Botswana,Parliamentary,2014,0.84750,698409.00,824073.00,0.551,1267719.00,2155784.00,0.012,No
Botswana,Parliamentary,2009,0.76710,555078.00,723617.00,0.622,892339.00,1990876.00,0.019,No
Botswana,Parliamentary,2004,0.76200,421272.00,552849.00,0.440,957540.00,1561973.00,0.021,No
Botswana,Parliamentary,1999,0.77110,354463.00,459662.00,0.420,844338.00,1592528.00,0.049,No
Botswana,Parliamentary,1994,0.76550,283375.00,370173.00,0.446,634920.00,1443000.00,,No
Botswana,Parliamentary,1989,0.68240,250487.00,367069.00,0.479,522900.00,1245000.00,,No
Botswana,Parliamentary,1984,0.77580,227756.00,293571.00,0.542,420400.00,1051000.00,,No
Botswana,Parliamentary,1979,0.55240,134496.00,243483.00,0.464,290033.00,783873.00,,No
Botswana,Parliamentary,1974,0.31220,64011.00,205016.00,0.262,244200.00,660000.00,,No
Botswana,Parliamentary,1969,0.54730,76858.00,140428.00,0.375,205200.00,570000.00,,No
Botswana,Parliamentary,1965,,140793.00,,0.694,202800.00,520000.00,0.015,No
Brazil,Parliamentary,2018,0.79800,117111476.00,146750529.00,0.767,152762054.00,208846892.00,0.160,Yes
Brazil,Parliamentary,2014,0.80600,113232072.00,140488492.00,0.751,150803268.00,202656788.00,0.140,Yes
Brazil,Parliamentary,2010,0.81880,111193747.00,135804433.00,0.806,137925708.00,201103330.00,0.086,Yes
Brazil,Parliamentary,2006,0.83270,104778751.00,125827119.00,0.835,125422653.00,188078227.00,0.111,Yes
Brazil,Parliamentary,2002,0.68720,79200181.00,115254113.00,0.684,115848256.00,174468575.00,0.118,Yes
Brazil,Parliamentary,1998,0.78510,83296067.00,106101067.00,0.810,102802554.00,161790311.00,,Yes
Brazil,Parliamentary,1994,0.82240,77950257.00,94782803.00,0.799,97590050.00,153725000.00,0.188,Yes
Brazil,Parliamentary,1990,0.84610,70918635.00,83817593.00,0.766,92622720.00,144723000.00,0.401,Yes
Brazil,Parliamentary,1986,0.85000,58791788.00,69166810.00,0.704,83484860.00,134653000.00,,Yes
Brazil,Parliamentary,1982,0.82330,48466898.00,58871378.00,0.637,76084200.00,126807000.00,0.151,Yes
Brazil,Parliamentary,1978,0.81750,37629180.00,46030464.00,0.555,67764600.00,112941000.00,0.207,Yes
Brazil,Parliamentary,1970,0.77450,22435521.00,28966114.00,0.429,52259200.00,93320000.00,0.303,Yes
Brazil,Parliamentary,1966,0.77210,17285556.00,22387251.00,0.384,45003600.00,83340000.00,0.211,Yes
Brazil,Parliamentary,1962,0.79590,14747221.00,18528847.00,0.369,40011840.00,74096000.00,0.177,Yes
Brazil,Parliamentary,1958,0.99200,12678997.00,12780997.00,0.357,35499600.00,65740000.00,0.084,Yes
Brazil,Parliamentary,1954,0.65480,9890604.00,15104604.00,0.315,31403900.00,57098000.00,0.066,Yes
Brazil,Parliamentary,1950,0.71890,8234906.00,11455149.00,0.283,29106560.00,51976000.00,0.070,Yes
Brazil,Parliamentary,1947,0.42470,2635680.00,6205415.00,0.097,27125280.00,48438000.00,0.108,Yes
Brazil,Parliamentary,1945,0.81640,6122864.00,7499670.00,0.237,25880440.00,46215000.00,0.032,Yes
Brazil,Presidential,2018,0.79670,117364560.00,147306275.00,0.768,152762054.00,208846892.00,0.087,Yes
Brazil,Presidential,2014,0.78900,112683879.00,142821358.00,0.747,150803268.00,202658788.00,0.063,Yes
Brazil,Presidential,2010,0.78500,106605942.00,135804433.00,0.773,137925708.00,,0.067,Yes
Brazil,Presidential,2006,0.81010,101998221.00,125913479.00,0.813,125422653.00,188078227.00,0.047,Yes
Brazil,Presidential,2002,0.79530,91664259.00,115254113.00,0.791,115848256.00,174468575.00,0.060,Yes
Brazil,Presidential,1998,0.78510,83297773.00,106101067.00,0.810,102802554.00,161790311.00,0.187,Yes
Brazil,Presidential,1994,0.84930,77971676.00,91803851.00,0.769,101458500.00,153725000.00,0.188,Yes
Brazil,Presidential,1989,0.88070,72280909.00,82074718.00,0.794,91075840.00,142306000.00,0.064,Yes
Brazil,Presidential,1960,0.80980,12586354.00,15543332.00,0.334,37654200.00,69730000.00,0.072,Yes
Brazil,Presidential,1955,0.59680,9097014.00,15243246.00,0.275,33100650.00,60183000.00,0.052,Yes
Brazil,Presidential,1950,0.72060,8254979.00,11455149.00,0.284,29106560.00,51976000.00,0.043,Yes
Brazil,Presidential,1945,0.83120,6200805.00,7459849.00,0.240,25880400.00,46215000.00,0.053,Yes
Bulgaria,Parliamentary,2017,0.53850,3682493.00,6838235.00,0.628,5864631.00,7101510.00,0.080,Yes
Bulgaria,Parliamentary,2014,0.51050,3501269.00,6858304.00,0.609,5750976.00,6924716.00,0.062,No
Bulgaria,Parliamentary,2013,0.52490,3632174.00,6919260.00,0.597,6084873.00,7282041.00,0.025,No
Bulgaria,Parliamentary,2009,0.60640,4323581.00,7129965.00,0.724,5969019.00,7204687.00,0.023,No
Bulgaria,Parliamentary,2005,0.55760,3747808.00,6720941.00,0.624,6004949.00,7450349.00,0.027,No
Bulgaria,Parliamentary,2001,0.66630,4608289.00,6916151.00,0.721,6391816.00,7932984.00,0.009,No
Bulgaria,Parliamentary,1997,0.58870,4291258.00,7289956.00,0.669,6414519.00,8330544.00,0.008,No
Bulgaria,Parliamentary,1994,0.75230,5264614.00,6997954.00,0.810,6501110.00,8443000.00,0.012,No
Bulgaria,Parliamentary,1991,0.83870,5694842.00,6790006.00,0.845,6736500.00,8982000.00,0.027,No
Bulgaria,Presidential,2016,0.56280,3947629.00,7014723.00,0.669,5903575.00,7144653.00,0.030,Yes
Bulgaria,Presidential,2011,0.48250,3334169.00,6910491.00,0.561,5939090.00,7093635.00,0.031,No
Bulgaria,Presidential,2006,0.42620,2757441.00,6469224.00,0.461,5975892.00,7385367.00,0.021,No
Bulgaria,Presidential,2001,0.54920,3784036.00,6889638.00,0.618,6125141.00,7932984.00,0.002,No
Bulgaria,Presidential,1996,0.49790,3358998.00,6746056.00,0.522,6440280.00,8364000.00,0.006,No
Bulgaria,Presidential,1992,0.75170,5154973.00,6857942.00,0.805,6405000.00,8540000.00,,No
Bulgaria,EU Parliament,2019,0.32850,2095561.00,6378694.00,0.362,5794894.00,7012640.00,0.038,
Bulgaria,EU Parliament,2014,0.35790,2361966.00,6599599.00,0.411,5751084.00,6924716.00,0.052,No
Bulgaria,EU Parliament,2009,0.38920,2601677.00,6684770.00,0.436,5969019.00,7204687.00,0.010,No
Bulgaria,EU Parliament,2007,0.29220,1955466.00,6691080.00,0.313,6253762.00,7679290.00,0.009,No
Burkina Faso,Parliamentary,2015,0.60130,3317193.00,5517015.00,0.365,9100031.00,18931686.00,0.048,No
Burkina Faso,Parliamentary,2012,0.75960,3315795.00,4365153.00,0.397,8359428.00,17275115.00,0.090,No
Burkina Faso,Parliamentary,2007,0.56430,2520488.00,4466354.00,0.379,6644496.00,15264735.00,0.114,No
Burkina Faso,Parliamentary,2002,0.64140,1868645.00,2913219.00,0.335,5582296.00,12272289.00,0.077,No
Burkina Faso,Parliamentary,1997,0.44530,2220161.00,4985352.00,0.413,5376800.00,10754000.00,0.049,No
Burkina Faso,Parliamentary,1992,0.33800,1260107.00,3727843.00,0.267,4716500.00,9433000.00,,No
Burkina Faso,Parliamentary,1978,0.40240,1161824.00,2887550.00,0.391,2969000.00,5938000.00,,No
Burkina Faso,Parliamentary,1970,0.48290,1156697.00,2395226.00,0.463,2497500.00,5550000.00,0.038,No
Burkina Faso,Presidential,2015,0.60000,3309988.00,5517015.00,0.364,9100031.00,18931686.00,0.058,No
Burkina Faso,Presidential,2010,0.54820,1773151.00,3234555.00,0.230,7707700.00,16241811.00,0.045,No
Burkina Faso,Presidential,2005,0.57660,2262899.00,3924328.00,0.364,6216114.00,13925313.00,0.087,No
Burkina Faso,Presidential,1998,0.56080,2361294.00,4210234.00,0.469,5032586.00,11123673.00,0.001,No
Burkina Faso,Presidential,1991,0.35250,1256381.00,3564501.00,0.273,4595500.00,9191000.00,0.033,No
Burundi,Parliamentary,2020,0.87310,4464359.00,5113418.00,0.761,5863257.00,11865821.00,0.042,No
Burundi,Parliamentary,2015,0.74320,2856112.00,3843024.00,0.555,5143633.00,10742276.00,0.195,No
Burundi,Parliamentary,2010,0.66680,2367926.00,3551125.00,0.508,4660761.00,9863117.00,0.039,No
Burundi,Parliamentary,2005,0.77230,2446001.00,3167124.00,0.704,3474897.00,6370609.00,0.010,No
Burundi,Parliamentary,1993,0.91380,2156659.00,2360090.00,0.754,2859840.00,5958000.00,0.021,No
Burundi,Parliamentary,1982,0.95000,1500000.00,1578947.00,,,4581943.00,,
Burundi,Parliamentary,1961,0.75390,783027.00,1038653.00,,,2967000.00,0.010,
Burundi,Presidential,2020,0.87710,4484928.00,5113418.00,0.765,5863257.00,11865821.00,0.038,No
Burundi,Presidential,2015,0.73440,2826072.00,3848119.00,0.549,5143633.00,10742276.00,0.061,No
Burundi,Presidential,2010,0.76980,2735558.00,3553372.00,0.587,4660761.00,9863117.00,0.011,No
Burundi,Presidential,1993,0.97310,2291746.00,2355126.00,0.801,2859840.00,5958000.00,0.014,No
Cambodia,Parliamentary,2018,0.83020,6956900.00,8380217.00,0.663,10499588.00,16449519.00,0.086,No
Cambodia,Parliamentary,2013,0.68490,6627159.00,9675453.00,0.698,9500301.00,15205539.00,,No
Cambodia,Parliamentary,2008,0.75210,6111210.00,8125529.00,0.759,8051099.00,14241640.00,0.017,No
Cambodia,Parliamentary,2003,0.83220,5277494.00,6341834.00,0.779,6772724.00,13607069.00,0.021,No
Cambodia,Parliamentary,1998,0.93740,5057679.00,5395595.00,0.922,5488029.00,10192000.00,0.031,No
Cambodia,Parliamentary,1993,0.86780,4134631.00,4764430.00,0.888,4654000.00,9308000.00,0.030,No
Cameroon,Parliamentary,2020,0.43790,3021947.00,6900928.00,0.232,13001295.00,27744989.00,,No
Cameroon,Parliamentary,2013,0.76790,4208796.00,5481226.00,0.376,11207373.00,22534532.00,0.044,No
Cameroon,Parliamentary,2007,0.62010,3100000.00,5000000.00,0.345,8982601.00,18060382.00,,No
Cameroon,Parliamentary,2002,0.65660,2882164.00,4389572.00,0.369,7813588.00,15803220.00,,No
Cameroon,Parliamentary,1997,0.75600,2906156.00,3844330.00,0.467,6222978.00,13829000.00,,No
Cameroon,Parliamentary,1992,0.60590,2435443.00,4019562.00,0.444,5482800.00,12184000.00,0.098,No
Cameroon,Parliamentary,1988,0.90320,3282884.00,3634568.00,0.670,4897350.00,10883000.00,0.031,No
