,ISO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ASSOC_ACTOR_1,INTER1,ACTOR2,ASSOC_ACTOR_2,INTER2,INTERACTION,REGION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,SOURCE_SCALE,NOTES,FATALITIES
6795,840,USA384,384,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,North America,United States,Wyoming,Laramie,,Cheyenne,41.14,-104.82,1,Wyoming News Now; Count Love,Other-Subnational,"On 19 June 2020, about a dozen people staged a demonstration in Cheyenne (Wyoming) to commemorate Juneteenth and in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. [size=about a dozen]",0
6796,840,USA391,391,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,North America,United States,North Dakota,Ward,,Minot,48.233000000000004,-101.296,1,Minot Daily News; Count Love,Other-Subnational,"On 19 June 2020, people staged a demonstration in Minot (North Dakota) to commemorate Juneteenth and in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. . [size=no report]",0
6797,840,USA392,392,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,North America,United States,Washington,Skagit,,Mount Vernon,48.42,-122.32600000000001,1,Skagit Valley Herald; Count Love,Other-Subnational,"On 19 June 2020, about 30 people staged a protest in Mount Vernon (Washington) in support of the Black Lives Movement and against police brutality and the death of George Floyd. [size=about 30]",0
6798,840,USA464,464,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,North America,United States,Connecticut,Hartford,,West Hartford,41.762,-72.742,1,Crowd Counting Consortium; Patch; WeHartford,Other-Subnational,"On 19 June 2020, an unspecified number of people staged a protest in West Hartford, Connecticut to commemorate Juneteenth in support of the Black Lives Matter movement and against police brutality. [size=no report]",0
6799,840,USA466,466,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,North America,United States,Massachusetts,Middlesex,,Framingham,42.278999999999996,-71.416,1,Six Nineteen; Crowd Counting Consortium,Other,"On 19 June 2020, about 200 people marched in a protest in Framingham, Massachusetts in support of the Black Lives Matter movement and against police brutality. [size=about 200]",0
6800,840,USA467,467,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,North America,United States,New York,Bronx,,New York-Bronx,40.845,-73.865,1,Crowd Counting Consortium; Spectrum News NY1; CBS2 (New York); Six Nineteen,Other-Subnational,"On 19 June 2020, thousands of people staged a Juneteenth protest in the Bronx, New York in support of the Black Lives Matter movement and against police brutality. [size= thousands of people]",0
6801,840,USA468,468,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter; DSA: Democratic Socialists of America,6,,,0,60,North America,United States,New York,New York,,New York-Manhattan,40.783,-73.96600000000001,1,Left Voice; Spectrum News NY1; Crowd Counting Consortium,Other-Subnational,"On 19 June 2020, over a thousand people, including DSA activists; staged a Juneteenth protest in Manhattan, New York in support of the Black Lives Matter movement and against police brutality, demanding a defunding of police. [size=over a thousand]",0
6802,840,USA470,470,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter; Police Forces of the United States (2017-),6,,,0,60,North America,United States,Wisconsin,Brown,,Green Bay,44.519,-88.02,1,Crowd Counting Consortium; Green Bay Press- Gazette; WBAY-TV2,Other-Subnational,"On 19 June 2020, over 250 people staged a Juneteenth rally in Green Bay, Wisconsin in support of the Black Lives Matter movement, black business owners, and against police brutality. The Green Bay police chief and several police officers were in attendance. [size=over 250]",0
6803,840,USA508,508,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,North America,United States,New York,New York,,New York City,40.714,-74.006,1,Crowd Counting Consortium; CBS2 (New York); Spectrum News NY1,Other-Subnational,"On 19 June 2020, thousands of people staged a Juneteenth protest in McCarren Park, Brooklyn, New York in support of the Black Lives Matter movement and against police brutality. [size= thousands of people]",0
6804,840,USA509,509,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter; LGBT (United States),6,,,0,60,North America,United States,New York,Kings,,New York-Brooklyn,40.69,-73.986,1,Spectrum News NY1; CBS2 (New York); Crowd Counting Consortium,Other-Subnational,"On 19 June 2020, thousands of people, including LGBT activists, staged a Juneteenth protest in New York-Brooklyn, New York in support of the Black Lives Matter movement and against police brutality. [size= thousands of people]",0
6805,840,USA510,510,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,North America,United States,New York,Queens,,New York-Queens,40.731,-73.796,1,CBS2 (New York); Spectrum News NY1; Crowd Counting Consortium,Other-Subnational,"On 19 June 2020, thousands of people staged a Juneteenth protest in Queens, New York in support of the Black Lives Matter movement and against police brutality. [size= thousands of people]",0
6806,840,USA512,512,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter; Labour Group (United States),6,,,0,60,North America,United States,New York,Richmond,,New York-Staten Island,40.606,-74.135,1,Spectrum News NY1; Staten Island Advance; Crowd Counting Consortium,Other-Subnational,"On 19 June 2020, an unspecified number of people staged a Juneteenth protest on Staten Island, New York in support of the Black Lives Matter movement, Black owned businesses, increased civic engagement, and against police brutality. [size=no report]",0
6807,840,USA544,544,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,North America,United States,Arizona,Maricopa,,Phoenix,33.448,-112.074,1,3TV (Phoenix),Subnational,"On 19 June 2020, more than 1000 marched in protest in Phoenix (Arizona), honoring Juneteenth, which commemorates the ending of slavery in the United States. The protest took place in the midst of nationwide demonstrations in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. [size=more than 1000]",0
6808,840,USA553,553,2020-6-19,2020,1,Riots,Violent demonstration,Rioters (United States),,5,Police Forces of the United States (2017-),,1,15,North America,United States,Missouri,Saint Louis,,Florissant,38.789,-90.323,1,5 On Your Side,Subnational,"On 19 June 2020, people demonstrated in Florissant (Missouri) after a video was released showing an officer striking a person with his car. Rioters clashed with police and threw objects at the police department building. Police arrested three people. [size=no report]",0
6809,840,USA583,583,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,North America,United States,Alabama,Jefferson,,Birmingham,33.521,-86.802,1,ABC33/40,Subnational,"On 19 June 2020, hundreds of people protested in Kelly Ingram Park in Birmingham (Jefferson, Alabama) to commemorate Juneteenth as well as to support the Black Lives Matter movement and protest against police brutality and the death of George Floyd. [size=hundreds]",0
6810,840,USA597,597,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter; Students (United States),6,,,0,60,North America,United States,California,Santa Clara,,San Jose,37.334,-121.891,1,ABC7 (San Francisco),Subnational,"On 19 June 2020, about 9000 people rallied in a student-led protest in San Jose (California), honoring Juneteenth, which commemorates the ending of slavery in the United States. The protest took place in the midst of nationwide demonstrations in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. [size=about 9000]",0
6811,840,USA610,610,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,North America,United States,Louisiana,West Feliciana,,Angola,30.948,-91.57,1,Advocate (Baton Rouge),Subnational,"On 19 June 2020, about 100 people marched to the front gates of Louisiana State Penitentiary at Angola (West Feliciana, Louisiana) to demand fairness in the criminal justice system. They also commemorated Juneteenth and protested systemic racism. Protesters chanted slogans. [size=about 100]",0
6812,840,USA622,622,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,North America,United States,Texas,Potter,,Amarillo,35.222,-101.831,1,Amarillo Globe News,Subnational,"On 19 June 2020, dozens of people marched in protest in Amarillo (Texas) honoring Juneteenth, which commemorates the ending of slavery in the United States. The protest took place in the midst of nationwide demonstrations in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. [size=dozens]",0
6813,840,USA652,652,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,North America,United States,Georgia,Cobb,,Marietta,33.953,-84.55,1,Atlanta Journal Constitution,Subnational,"On 19 June 2020, hundreds of people assembled at the headquarters of the Cobb NAACP in Marietta (Cobb, Georgia) for a rally to commemorate Juneteenth and marched to Marietta Square in support of the Black Lives Matter movement and against police brutality and the death of George Floyd and Rayshard Brooks. [size=hundreds]",0
6814,840,USA653,653,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,North America,United States,Georgia,Morgan,,Madison,33.596,-83.46799999999999,1,Atlanta Journal Constitution,Subnational,"On 19 June 2020, about 200 people joined a youth-led march in downtown Madison (Morgan, Georgia) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. [size=about 200]",0
