,Year,Latitude,Longitude
210,1996,55.71484482,-158.6038312
211,1996,56.37674696,-155.5864267
212,1996,57.35874425,-154.1037887
213,1996,57.9584968,-147.3400967
214,1996,57.85784931,-150.5906856
215,1996,55.34352001,-159.0028893
216,1996,56.57593855,-136.3032509
217,1996,56.95950367,-139.0323738
218,1996,53.57477264,-164.8245941
219,1996,58.67976859,-147.1724327
220,1996,33.10564957,-79.2677906
221,1996,32.53528286,-79.35914948
222,1996,32.86995461,-79.39828752
223,1996,34.28754412,-77.49194432
224,1996,30.92090535,-81.08568408
225,1996,31.60726361,-80.53809914
226,1996,32.96208773,-79.3787389
227,1996,30.83264002,-80.65498036
228,1996,33.704193,-78.38336357
229,1997,52.10513052,-177.1111649
230,1997,53.47908107,-168.3865402
231,1997,52.32657352,-176.6494035
232,1997,52.40924478,-179.4140751
233,1997,57.6070475,-163.1921462
234,1997,57.48120274,-166.6395646
235,1997,57.89837553,-162.5921528
236,1997,57.23964424,-165.4538937
237,1997,58.15686386,-171.6092461
238,1997,57.25435662,-164.7793204
239,1997,33.29156018,-79.09473711
240,1997,32.98944481,-79.37102556
241,1997,33.22464099,-79.1855738
242,1997,33.40976971,-78.83493119
243,1997,32.90271806,-79.26954451
244,1997,33.58614675,-78.63466715
245,1997,33.09938368,-79.3249327
246,1997,32.24132406,-79.96671505
247,1997,32.62572028,-79.80311459
248,1998,57.36281719,-167.8157109
249,1998,58.07647254,-166.9845555
250,1998,58.30673623,-165.7326062
251,1998,58.43861355,-168.3137581
252,1998,58.44338671,-172.541909
253,1998,59.22653686,-167.7950954
254,1998,33.44602282,-78.97845531
255,1998,33.0361853,-78.97759842
256,1998,32.38349592,-79.88243087
257,1998,33.72481128,-78.27269514
258,1998,31.8634301,-80.70245331
259,1998,34.09297925,-77.56620577
260,1998,32.4806906,-79.79197102
261,1998,32.10718914,-80.14780181
262,1998,31.9276102,-80.14121607
263,1998,46.54414968,-125.1119044
264,1998,46.47452808,-125.0620351
265,1998,43.58855153,-124.6014767
266,1999,57.8147966,-168.7426866
267,1999,57.81732965,-168.6581736
268,1999,57.68987158,-166.3434048
269,1999,57.99394228,-165.786924
270,1999,58.43111173,-172.2635273
271,1999,58.06085828,-168.0065026
272,1999,55.52656018,-157.3161719
273,1999,57.01390181,-154.1590593
274,1999,55.65081314,-160.191073
275,1999,58.00325064,-149.3861831
276,1999,58.57522815,-148.8176573
277,1999,59.45412628,-143.4977856
278,1999,56.65693127,-147.5965448
279,1999,57.00590847,-138.5113047
280,1999,58.64104633,-146.7980296
281,1999,34.19676543,-77.34740891
282,1999,33.18526513,-78.84645733
283,1999,32.79286246,-79.57092185
284,1999,34.21430555,-77.58844344
285,1999,31.84439781,-80.44184486
286,1999,31.20435081,-80.89564544
287,1999,31.63197583,-80.82680862
288,1999,32.5480006,-79.35888941
289,1999,33.11099534,-79.11182703
290,2000,52.21989686,-181.6049473
291,2000,53.39640246,-168.4599324
292,2000,52.86179296,-173.2470461
293,2000,52.39351533,-172.4114246
294,2000,58.09673295,-169.1996165
295,2000,57.93522559,-164.0546481
296,2000,58.32089516,-170.236275
297,2000,58.17237448,-172.7136442
298,2000,58.21657647,-165.7775163
299,2000,34.02087898,-77.62134529
300,2000,32.3564465,-79.54342232
301,2000,32.85255246,-79.27196213
302,2000,33.46379904,-78.75399908
303,2000,31.55911751,-80.52042142
304,2000,32.08625861,-80.43755107
305,2000,32.07162844,-80.32111954
306,2000,31.77142978,-80.14984882
307,2000,32.94600597,-79.40985093
308,2001,57.76727307,-169.2601999
309,2001,58.74562666,-170.2065034
310,2001,58.00844462,-169.213645
311,2001,58.68594236,-170.3906594
312,2001,58.47153743,-172.9057424
313,2001,59.31877717,-170.5933962
314,2001,34.73181216,-76.62605209
315,2001,32.65575324,-79.31600658
316,2001,32.87321256,-79.44074584
317,2001,33.80057571,-78.07770809
318,2001,31.03943542,-81.11500946
319,2001,32.36009361,-79.8687908
320,2001,32.05069477,-80.39062183
321,2001,30.28133657,-81.18195212
322,2001,32.73156696,-79.31659073
323,2001,48.3669783,-125.422111
324,2001,46.08151894,-124.9577359
325,2001,44.46731793,-124.5405104
326,2002,52.29281536,-176.1423458
327,2002,53.16242699,-169.618083
328,2002,52.53324956,-177.2671873
329,2002,52.44533142,-173.6875466
330,2002,58.1841909,-166.9505798
331,2002,57.87000179,-170.2088925
332,2002,58.22582102,-167.5121354
333,2002,59.05661789,-167.1422953
334,2002,58.68439965,-172.9444455
335,2002,59.30770709,-167.9504461
336,2002,33.874513,-77.86439417
337,2002,32.24345426,-79.53746144
338,2002,33.88759068,-77.78793766
339,2002,34.02453384,-77.65171614
340,2002,31.92713534,-80.37576855
341,2002,32.30944366,-80.02376477
342,2002,31.86932118,-80.15840242
343,2002,30.90508555,-80.8020609
344,2002,32.53965418,-79.89262559
345,2003,58.84557156,-172.2929162
346,2003,58.38468492,-169.3505466
347,2003,58.12659589,-167.9453683
348,2003,58.56810267,-167.1114156
349,2003,58.86895367,-173.3896159
350,2003,59.31691733,-167.6321379
351,2003,56.42401889,-155.1772724
352,2003,54.86123329,-161.8029287
353,2003,56.60972361,-154.7647662
354,2003,58.73716746,-146.0861883
355,2003,58.49601631,-147.5126112
356,2003,56.40239381,-156.8188789
357,2003,58.40634373,-145.9731664
358,2003,57.04469432,-140.6079907
359,2003,58.67314754,-149.3162969
360,2003,58.33075899,-146.586935
361,2003,33.04074883,-79.18197357
362,2003,32.25950711,-79.87983277
363,2003,31.45600334,-80.76618221
364,2003,34.36394292,-77.32894062
365,2003,31.37325244,-80.95735552
366,2003,32.30532664,-79.83329052
367,2003,31.7707188,-80.51610402
368,2003,30.71501918,-80.71247802
369,2003,33.27886438,-78.8732624
370,2003,47.26728979,-125.0481586
371,2003,45.46033703,-124.6306665
372,2003,40.91282779,-124.3695418
373,2003,45.58441062,-124.3206177
374,2004,51.96761792,-181.171109
375,2004,53.26474021,-168.7918291
376,2004,52.79919816,-176.68156
377,2004,51.69162981,-178.9851923
378,2004,58.26995788,-164.1284292
379,2004,58.31600931,-166.8726713
380,2004,58.03726975,-168.0033784
381,2004,58.7470716,-166.3096827
382,2004,58.8434333,-173.369207
383,2004,58.44797768,-168.5445418
384,2004,32.8225205,-79.51435899
385,2004,31.91843876,-79.84970767
386,2004,33.01861317,-79.38403425
387,2004,33.97144468,-77.74626828
388,2004,31.24357003,-80.90225812
389,2004,32.92068162,-79.24510325
390,2004,31.90645114,-80.54672523
391,2004,31.33407166,-80.58916145
392,2004,33.31628602,-78.64170309
393,2004,44.79935803,-124.6785395
394,2004,44.38784604,-124.6343712
395,2004,44.63672985,-124.6020875
396,2004,45.05151721,-124.6156315
397,2004,46.66711467,-124.9168664
398,2004,44.13444197,-124.5381018
399,2004,43.98652579,-124.4545266
400,2005,58.40798645,-169.0748671
401,2005,58.34405821,-169.264468
402,2005,57.49630399,-164.3423336
403,2005,58.9217418,-168.9125705
404,2005,58.90708363,-173.7663619
405,2005,58.81225556,-171.8542846
406,2005,56.38003386,-155.5338282
407,2005,55.19042661,-159.9065862
408,2005,58.06375427,-149.8822078
409,2005,58.04766749,-151.4708157
410,2005,59.41937611,-150.614416
411,2005,57.10593174,-150.9753358
412,2005,56.88334659,-138.0439122
